City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,broome,42.2506,-75.833,10.9,79,0,3.6,US,1698543004
351,saint-philippe,-21.3585,55.7679,22.77,86,40,4.4,RE,1698543004
352,saint-remy-les-chevreuse,48.7071,2.0769,13.74,94,75,9.77,FR,1698543004
353,kuta,-8.7233,115.1723,29.97,70,20,2.06,ID,1698542823
354,kangal,39.2335,37.3911,10.46,67,100,1.15,TR,1698543005
355,ilebo,-4.3167,20.5833,21.33,97,78,0.51,CD,1698543006
356,brookings,44.3114,-96.7984,-3.0,86,100,3.6,US,1698543006
357,ulaangom,49.9811,92.0667,-2.38,47,68,0.76,MN,1698543007
358,westport,41.1415,-73.3579,22.12,69,20,5.14,US,1698542936
359,cole harbour,44.6724,-63.4751,18.86,82,60,5.14,CA,1698542710
360,chibougamau,49.9168,-74.3659,-4.21,74,100,4.12,CA,1698543007
361,krasyliv,49.6519,26.9725,9.53,81,90,4.05,UA,1698543008
